
Thu Jan  1 00:00:01 1970

Flight Log #2
ROVER: 'Rover Observation Vehicle for Enclosed Regions'
Flight Log - Format Version '0.1'
LEGEND:[rover_t, rover_status, [rover_orient], [rover_ex_gyro], [rover_ex_acc], [rover_int_acc], [rover_ex_mag], [rover_int_mag]]
DATA[3400,0,[0,0,0],[-0.038332,0.015424,0.041997],[-0.137293,0.392266,10.140077],[0.344566,-0.155533,9.815358],[-0.038182,-0.100000,-0.026531],[-85,191,329]]
DATA[3450,0,[0,0,0],[-0.034667,0.013592,0.044593],[-0.274586,0.392266,10.140077],[0.380459,-0.107677,9.810573],[-0.039091,-0.095455,-0.028571],[-90,197,347]]
DATA[3480,0,[0,0,0],[-0.037568,0.015424,0.041692],[-0.215746,0.392266,10.159690],[0.378066,-0.102891,9.786645],[-0.039091,-0.099091,-0.027551],[-89,184,337]]
DATA[3520,0,[0,0,0],[-0.032681,0.012828,-0.001527],[-0.176520,0.431493,10.179303],[0.378066,-0.122034,9.801002],[-0.038182,-0.095455,-0.028571],[-90,201,338]]
DATA[3570,0,[0,0,0],[-0.033292,0.014355,0.044746],[-0.215746,0.372653,10.179303],[0.351745,-0.155533,9.829716],[-0.036364,-0.096364,-0.028571],[-81,190,336]]
DATA[3610,0,[0,0,0],[-0.035888,0.014050,0.042302],[-0.176520,0.392266,-0.156906],[0.346959,-0.150748,9.805787],[-0.040000,-0.095455,-0.025510],[-91,196,338]]
DATA[3640,0,[0,0,0],[-0.001374,0.010537,0.045357],[-0.176520,0.451106,-0.156906],[0.361316,-0.112463,9.815358],[-0.038182,-0.094545,-0.030612],[-102,198,339]]
DATA[3690,0,[0,0,0],[-0.029474,0.016341,0.039859],[-0.196133,0.431493,10.120462],[0.373280,-0.126820,9.844072],[-0.037273,-0.098182,-0.025510],[-90,194,343]]
DATA[3730,0,[0,0,0],[-0.038332,0.016493,0.044135],[-0.196133,-0.117680,-0.098067],[0.370888,-0.107677,9.810573],[-0.040909,-0.090000,-0.029592],[-87,195,335]]
DATA[3770,0,[0,0,0],[-0.033598,0.016799,0.044288],[-0.156906,-0.137293,10.120462],[0.375673,-0.107677,9.820144],[-0.038182,-0.097273,-0.025510],[-92,197,336]]
DATA[3820,0,[0,0,0],[-0.038332,0.014203,-0.000305],[-0.254973,0.451106,10.140077],[0.363709,-0.169890,9.820144],[-0.038182,-0.100909,-0.028571],[-88,195,332]]
