
Thu Jan  1 00:14:41 1970

Flight Log #18
ROVER: 'Rover Observation Vehicle for Enclosed Regions'
Flight Log - Format Version '0.1'
LEGEND:[rover_t, rover_status, [rover_orient], [rover_ex_gyro], [rover_ex_acc], [rover_int_acc], [rover_ex_mag], [rover_int_mag]]
DATA[15870, 0, [0,0,0], [-0.020769, 0.014661, -0.006872], [-28.000000, -4.000000, -8.000000], [0.023928, -0.141177, 9.777073], [0.018182, -0.072727, -0.481633], [-301, -33, 366]]
DATA[16060, 0, [0,0,0], [-0.021075, 0.012217, -0.008094], [-4.000000, -4.000000, -4.000000], [0.045464, -0.088534, 9.829716], [0.016364, -0.071818, -0.477551], [-308, -32, 366]]
DATA[16250, 0, [0,0,0], [-0.023518, 0.010079, -0.008705], [-28.000000, -16.000000, 1056.000000], [0.028714, -0.126820, 9.829716], [0.010909, -0.069091, -0.481633], [-303, -33, 365]]
DATA[16450, 0, [0,0,0], [-0.021075, 0.006109, -0.003054], [-8.000000, -4.000000, -4.000000], [0.016750, -0.122034, 9.772287], [0.014545, -0.071818, -0.478571], [-302, -39, 350]]
DATA[16650, 0, [0,0,0], [-0.021838, 0.012370, -0.007789], [-28.000000, -16.000000, 1060.000000], [-0.021535, -0.122034, 9.786645], [0.015455, -0.072727, -0.476531], [-307, -37, 359]]
DATA[16840, 0, [0,0,0], [-0.014203, 0.010385, -0.007025], [-8.000000, -16.000000, -8.000000], [0.033500, -0.131605, 9.805787], [0.013636, -0.070000, -0.478571], [-307, -42, 365]]
DATA[17040, 0, [0,0,0], [-0.021228, 0.015424, -0.010079], [-28.000000, -8.000000, 1044.000000], [0.045464, -0.131605, 9.810573], [0.010909, -0.072727, -0.478571], [-303, -32, 368]]
DATA[17230, 0, [0,0,0], [-0.020922, 0.016799, -0.010385], [-28.000000, -4.000000, -8.000000], [0.040678, -0.126820, 9.834501], [0.017273, -0.069091, -0.482653], [-313, -34, 363]]
DATA[17430, 0, [0,0,0], [-0.023213, 0.016799, -0.005651], [-28.000000, -8.000000, -8.000000], [0.040678, -0.145962, 9.829716], [0.013636, -0.066364, -0.480612], [-307, -35, 360]]
DATA[17630, 0, [0,0,0], [-0.020006, 0.007636, -0.005040], [-28.000000, -12.000000, -8.000000], [0.023928, -0.136391, 9.801002], [0.015455, -0.070000, -0.482653], [-305, -37, 360]]
DATA[17820, 0, [0,0,0], [-0.023976, 0.012370, -0.004887], [-8.000000, -16.000000, -4.000000], [0.014357, -0.107677, 9.815358], [0.010909, -0.070000, -0.480612], [-312, -35, 357]]
DATA[18020, 0, [0,0,0], [-0.020464, 0.013897, -0.010232], [-32.000000, -8.000000, 1056.000000], [0.045464, -0.098106, 9.810573], [0.016364, -0.071818, -0.477551], [-315, -41, 352]]
DATA[18210, 0, [0,0,0], [-0.018326, 0.016493, -0.009774], [-16.000000, -28.000000, -4.000000], [0.023928, -0.126820, 9.834501], [0.010909, -0.066364, -0.480612], [-309, -31, 352]]
DATA[18410, 0, [0,0,0], [-0.021533, 0.013439, -0.009468], [-8.000000, -12.000000, 1060.000000], [0.033500, -0.126820, 9.810573], [0.017273, -0.073636, -0.478571], [-307, -33, 378]]
DATA[18610, 0, [0,0,0], [-0.020159, 0.012981, -0.004887], [-4.000000, -12.000000, 1060.000000], [0.045464, -0.122034, 9.805787], [0.011818, -0.068182, -0.483673], [-309, -35, 361]]
DATA[18800, 0, [0,0,0], [-0.018937, 0.005345, -0.003054], [-32.000000, -16.000000, -4.000000], [0.023928, -0.145962, 9.829716], [0.017273, -0.074545, -0.480612], [-309, -35, 353]]
DATA[19000, 0, [0,0,0], [-0.019242, 0.013744, -0.006567], [-28.000000, -8.000000, 1056.000000], [0.014357, -0.117248, 9.820144], [0.008182, -0.068182, -0.479592], [-307, -37, 361]]
DATA[19190, 0, [0,0,0], [-0.024129, 0.009621, -0.007178], [-32.000000, -12.000000, 1060.000000], [0.014357, -0.122034, 9.805787], [0.016364, -0.073636, -0.480612], [-305, -35, 361]]
DATA[19390, 0, [0,0,0], [-0.019548, 0.011759, -0.006720], [-28.000000, -16.000000, 1056.000000], [0.026321, -0.102891, 9.820144], [0.011818, -0.067273, -0.478571], [-309, -38, 364]]
DATA[19590, 0, [0,0,0], [-0.020617, 0.016188, -0.005956], [-28.000000, -16.000000, -8.000000], [0.028714, -0.102891, 9.820144], [0.015455, -0.072727, -0.478571], [-309, -44, 360]]
DATA[19780, 0, [0,0,0], [-0.020006, 0.009468, -0.007789], [-28.000000, -4.000000, 1056.000000], [0.026321, -0.117248, 9.844072], [0.010909, -0.069091, -0.481633], [-305, -37, 362]]
DATA[19980, 0, [0,0,0], [-0.019242, 0.007025, -0.012217], [-28.000000, -8.000000, 1060.000000], [0.023928, -0.112463, 9.805787], [0.017273, -0.072727, -0.477551], [-302, -33, 366]]
DATA[20180, 0, [0,0,0], [-0.016799, 0.010843, -0.004123], [-8.000000, -16.000000, -8.000000], [0.016750, -0.136391, 9.820144], [0.010909, -0.066364, -0.480612], [-303, -41, 361]]
DATA[20370, 0, [0,0,0], [-0.017410, 0.015730, -0.005956], [-28.000000, -16.000000, -4.000000], [0.026321, -0.088534, 9.805787], [0.017273, -0.071818, -0.477551], [-303, -39, 346]]
DATA[20560, 0, [0,0,0], [-0.025198, 0.010385, -0.006109], [-8.000000, -16.000000, 1060.000000], [0.045464, -0.136391, 9.824930], [0.011818, -0.070000, -0.481633], [-302, -32, 357]]
DATA[20760, 0, [0,0,0], [-0.020159, 0.015882, -0.010079], [-4.000000, -16.000000, 1056.000000], [0.035892, -0.117248, 9.791430], [0.015455, -0.072727, -0.479592], [-303, -34, 347]]
DATA[20950, 0, [0,0,0], [-0.023060, 0.015882, -0.011912], [-28.000000, -8.000000, 1060.000000], [0.031107, -0.126820, 9.810573], [0.008182, -0.069091, -0.479592], [-307, -33, 362]]
DATA[21150, 0, [0,0,0], [-0.025809, 0.015730, -0.006567], [-28.000000, -16.000000, 1056.000000], [0.047856, -0.131605, 9.824930], [0.018182, -0.071818, -0.477551], [-301, -31, 377]]
DATA[21350, 0, [0,0,0], [-0.021533, 0.007941, -0.010079], [-32.000000, -16.000000, 1072.000000], [0.038285, -0.107677, 9.810573], [0.009091, -0.070000, -0.480612], [-306, -38, 363]]
DATA[21540, 0, [0,0,0], [-0.022907, 0.018784, -0.009927], [-8.000000, -8.000000, 1060.000000], [0.023928, -0.117248, 9.791430], [0.019091, -0.073636, -0.478571], [-306, -42, 358]]
DATA[21740, 0, [0,0,0], [-0.020311, 0.011759, -0.008858], [-28.000000, -16.000000, -8.000000], [0.043071, -0.117248, 9.805787], [0.010909, -0.068182, -0.481633], [-309, -33, 369]]
DATA[21940, 0, [0,0,0], [-0.019395, 0.013744, -0.006414], [-28.000000, -8.000000, 1056.000000], [0.021535, -0.112463, 9.824930], [0.019091, -0.072727, -0.479592], [-307, -42, 361]]
DATA[22140, 0, [0,0,0], [-0.026267, 0.006720, -0.005345], [-4.000000, -4.000000, 1060.000000], [0.047856, -0.131605, 9.839287], [0.014545, -0.070909, -0.480612], [-311, -37, 361]]
DATA[22340, 0, [0,0,0], [-0.014813, 0.011759, -0.006261], [-28.000000, -12.000000, -8.000000], [0.045464, -0.150748, 9.829716], [0.014545, -0.070909, -0.480612], [-305, -36, 357]]
DATA[22530, 0, [0,0,0], [-0.019090, 0.006109, -0.005803], [-28.000000, -4.000000, -8.000000], [0.009571, -0.122034, 9.791430], [0.011818, -0.065455, -0.481633], [-303, -39, 364]]
DATA[22730, 0, [0,0,0], [-0.019090, 0.011912, -0.005498], [-8.000000, -4.000000, -4.000000], [0.014357, -0.150748, 9.801002], [0.017273, -0.070000, -0.478571], [-307, -35, 358]]
DATA[22930, 0, [0,0,0], [-0.020464, 0.012217, -0.007178], [-28.000000, -4.000000, -8.000000], [0.019143, -0.112463, 9.810573], [0.012727, -0.069091, -0.480612], [-308, -42, 357]]
DATA[23130, 0, [0,0,0], [-0.021991, 0.013439, -0.006872], [-8.000000, -4.000000, 1056.000000], [-0.004786, -0.145962, 9.844072], [0.015455, -0.073636, -0.479592], [-306, -38, 361]]
DATA[23320, 0, [0,0,0], [-0.018021, 0.016493, -0.008858], [-8.000000, -16.000000, 1060.000000], [0.043071, -0.126820, 9.810573], [0.011818, -0.067273, -0.480612], [-303, -38, 356]]
DATA[23520, 0, [0,0,0], [-0.015882, 0.014966, -0.006567], [-8.000000, -4.000000, 1060.000000], [0.007178, -0.136391, 9.815358], [0.013636, -0.071818, -0.479592], [-313, -36, 360]]
DATA[23710, 0, [0,0,0], [-0.019395, 0.015730, -0.008552], [-8.000000, -4.000000, 1056.000000], [0.004786, -0.069392, 9.829716], [0.010909, -0.067273, -0.479592], [-310, -38, 359]]
DATA[23910, 0, [0,0,0], [-0.022144, 0.015272, -0.009010], [-8.000000, -16.000000, -4.000000], [0.040678, -0.117248, 9.815358], [0.017273, -0.074545, -0.478571], [-299, -34, 373]]
DATA[24100, 0, [0,0,0], [-0.022907, 0.015577, -0.008858], [-32.000000, -16.000000, 1056.000000], [0.062213, -0.136391, 9.829716], [0.014545, -0.069091, -0.480612], [-303, -39, 353]]
DATA[24300, 0, [0,0,0], [-0.018021, 0.011912, -0.008552], [-8.000000, -12.000000, -4.000000], [0.019143, -0.131605, 9.815358], [0.015455, -0.074545, -0.480612], [-301, -35, 365]]
DATA[24490, 0, [0,0,0], [-0.019700, 0.010079, -0.005651], [-32.000000, -4.000000, -4.000000], [0.057428, -0.136391, 9.834501], [0.015455, -0.069091, -0.482653], [-299, -37, 367]]
DATA[24690, 0, [0,0,0], [-0.018631, 0.013744, -0.005651], [-28.000000, -8.000000, 1060.000000], [0.045464, -0.098106, 9.829716], [0.012727, -0.072727, -0.478571], [-251, -34, 365]]
DATA[24880, 0, [0,0,0], [-0.018021, 0.009927, -0.010385], [-8.000000, -16.000000, -8.000000], [0.066999, -0.126820, 9.820144], [0.013636, -0.071818, -0.482653], [-309, -37, 361]]
