
Thu Jan  1 00:00:43 1970

Flight Log #12
ROVER: 'Rover Observation Vehicle for Enclosed Regions'
Flight Log - Format Version '0.2'
LEGEND:[rover_t, rover_status, [rover_orient], [rover_ex_gyro], rover_ex_gyro_temp, [rover_ex_acc], [rover_int_acc], [rover_ex_mag], [rover_int_mag]]
DATA[5170, 0, [0,0,0], [-0.001840, 0.024982, 0.061551], 10, [-0.117680, -0.235360, 10.355823], [-0.056107, -0.215743, 9.755766], [18.000000, 321.000000, -100.000000], [0.979100, 191.114594, -526.939209]]
DATA[5230, 0, [0,0,0], [-0.007185, 0.022844, 0.055289], 10, [-0.058840, -0.098067, -0.039227], [-0.082527, -0.196891, 9.727165], [17.000000, 316.000000, -102.000000], [0.979100, 186.111603, -537.151184]]
DATA[5290, 0, [0,0,0], [-0.001076, 0.026203, 0.055595], 10, [-0.039227, -0.235360, -0.078453], [-0.048902, -0.220456, 9.741466], [14.000000, 321.000000, -99.000000], [1.958200, 192.115204, -528.981628]]
DATA[5350, 0, [0,0,0], [-0.001382, 0.022996, 0.060024], 10, [-0.098067, -0.117680, -0.117680], [-0.072920, -0.211030, 9.727165], [11.000000, 319.000000, -100.000000], [2.937300, 194.116394, -547.363220]]
DATA[5410, 0, [0,0,0], [-0.000923, 0.026051, 0.057122], 11, [-0.137293, -0.156906, -0.058840], [-0.058509, -0.225169, 9.727165], [10.000000, 318.000000, -96.000000], [3.916400, 183.109802, -535.108826]]
DATA[5470, 0, [0,0,0], [-0.007796, 0.021316, 0.007031], 11, [-0.117680, -0.215746, 10.375436], [-0.058509, -0.206317, 9.708098], [9.000000, 322.000000, -96.000000], [0.000000, 181.108597, -535.108826]]
DATA[5530, 0, [0,0,0], [-0.006879, 0.024523, 0.057886], 11, [-0.058840, -0.254973, -0.117680], [-0.070518, -0.239307, 9.741466], [8.000000, 318.000000, -98.000000], [1.958200, 187.112198, -536.130005]]
DATA[5590, 0, [0,0,0], [-0.002298, 0.021927, 0.057122], 11, [-0.156906, -0.078453, -0.078453], [-0.041696, -0.220456, 9.772450], [15.000000, 320.000000, -98.000000], [4.895500, 185.110992, -544.299622]]
DATA[5650, 0, [0,0,0], [-0.001992, 0.025592, 0.055289], 11, [-0.039227, -0.196133, -0.117680], [-0.063313, -0.262872, 9.717631], [16.000000, 319.000000, -100.000000], [-0.979100, 197.118195, -542.257202]]
DATA[5710, 0, [0,0,0], [-0.036812, 0.022385, 0.056511], 11, [-0.137293, -0.235360, -0.058840], [-0.046500, -0.220456, 9.731933], [17.000000, 316.000000, -101.000000], [3.916400, 190.113998, -536.130005]]
DATA[5770, 0, [0,0,0], [-0.004589, 0.024371, 0.058191], 11, [-0.137293, -0.196133, -0.039227], [-0.060911, -0.267584, 9.750999], [16.000000, 321.000000, -98.000000], [3.916400, 193.115799, -536.130005]]
DATA[5830, 0, [0,0,0], [-0.038950, -0.009074, 0.054679], 11, [0.039227, -0.176520, -0.058840], [-0.046500, -0.182753, 9.703331], [10.000000, 319.000000, -96.000000], [5.874600, 192.115204, -542.257202]]
DATA[5890, 0, [0,0,0], [-0.037881, 0.018262, 0.057427], 11, [-0.117680, -0.235360, -0.117680], [-0.053705, -0.234594, 9.741466], [10.000000, 322.000000, -97.000000], [9.791000, 190.113998, -537.151184]]
DATA[5950, 0, [0,0,0], [-0.036201, -0.009838, 0.055595], 11, [-0.058840, -0.156906, -0.078453], [-0.063313, -0.258159, 9.750999], [8.000000, 320.000000, -98.000000], [5.874600, 188.112793, -532.045227]]
DATA[6010, 0, [0,0,0], [-0.001840, 0.016888, 0.054526], 11, [-0.137293, -0.235360, 10.453889], [-0.044098, -0.215743, 9.727165], [14.000000, 318.000000, -99.000000], [1.958200, 197.118195, -534.087585]]
DATA[6070, 0, [0,0,0], [-0.002298, 0.019484, 0.062009], 11, [-0.098067, -0.529559, 10.453889], [-0.051304, -0.229881, 9.736699], [19.000000, 319.000000, -99.000000], [4.895500, 197.118195, -536.130005]]
DATA[6130, 0, [0,0,0], [-0.004741, 0.021775, 0.057733], 11, [-0.078453, -0.294199, 10.414662], [-0.058509, -0.192178, 9.722398], [13.000000, 318.000000, -102.000000], [4.895500, 196.117599, -538.172424]]
DATA[6190, 0, [0,0,0], [-0.003061, 0.026662, 0.055442], 10, [-0.098067, -0.215746, -0.117680], [-0.036893, -0.225169, 9.760532], [13.000000, 321.000000, -97.000000], [-4.895500, 190.113998, -535.108826]]
DATA[6250, 0, [0,0,0], [-0.039408, 0.022080, 0.055748], 10, [-0.196133, -0.215746, 10.375436], [-0.058509, -0.201604, 9.746232], [10.000000, 320.000000, -97.000000], [-0.979100, 194.116394, -546.341980]]
DATA[6310, 0, [0,0,0], [-0.011766, 0.020095, 0.057122], 10, [-0.117680, -0.176520, -0.098067], [-0.056107, -0.215743, 9.722398], [9.000000, 321.000000, -98.000000], [-1.958200, 192.115204, -531.023987]]
DATA[6370, 0, [0,0,0], [-0.002145, 0.015666, 0.057733], 10, [-0.117680, -0.176520, -0.117680], [-0.053705, -0.211030, 9.717631], [7.000000, 318.000000, -95.000000], [0.000000, 191.114594, -543.278381]]
DATA[6430, 0, [0,0,0], [-0.000771, 0.016582, -0.243424], 10, [-0.039227, -0.196133, 10.375436], [-0.567689, -0.244020, 9.743849], [7.000000, 319.000000, -98.000000], [-1.958200, 190.113998, -540.214783]]
DATA[6490, 0, [0,0,0], [-0.038644, 0.024218, 0.055900], 10, [0.078453, -0.098067, -0.098067], [-0.058509, -0.258159, 9.755766], [13.000000, 318.000000, -99.000000], [1.958200, 189.113403, -541.236023]]
DATA[6550, 0, [0,0,0], [-0.002298, 0.024829, 0.060176], 10, [-0.156906, -0.215746, -0.058840], [-0.034491, -0.225169, 9.765299], [16.000000, 318.000000, -102.000000], [0.979100, 197.118195, -544.299622]]
DATA[6610, 0, [0,0,0], [-0.004589, 0.023454, 0.059871], 10, [-0.137293, -0.137293, 10.473502], [-0.046500, -0.225169, 9.727165], [17.000000, 321.000000, -100.000000], [5.874600, 194.116394, -539.193604]]
DATA[6670, 0, [0,0,0], [-0.009476, 0.019331, 0.057275], 10, [-0.215746, -0.294199, 10.179303], [-0.058509, -0.262872, 9.703331], [12.000000, 321.000000, -99.000000], [-6.853700, 197.118195, -532.045227]]
DATA[6730, 0, [0,0,0], [-0.004436, 0.026967, 0.052235], 10, [-0.039227, -0.156906, -0.156906], [-0.012875, -0.229881, 9.717631], [9.000000, 322.000000, -98.000000], [-4.895500, 196.117599, -534.087585]]
DATA[6790, 0, [0,0,0], [-0.007185, 0.020095, 0.053151], 10, [-0.058840, -0.254973, -0.058840], [0.011143, -0.206317, 9.712865], [5.000000, 321.000000, -97.000000], [3.916400, 187.112198, -540.214783]]
