
Thu Jan  1 00:00:01 1970

Flight Log #13
ROVER: 'Rover Observation Vehicle for Enclosed Regions'
Flight Log - Format Version '0.2'
LEGEND:[rover_t, rover_status, [rover_orient], [rover_ex_gyro], rover_ex_gyro_temp, [rover_ex_acc], [rover_int_acc], [rover_ex_mag], [rover_int_mag]]
DATA[4270, 0, [0,0,0], [-0.008254, 0.021927, 0.060482], 10, [-0.039227, -0.196133, -0.058840], [-0.072920, -0.201604, 9.712865], [41.000000, 326.000000, -89.000000], [45.038601, 172.103195, -548.384399]]
DATA[4320, 0, [0,0,0], [-0.003520, 0.022385, 0.060635], 10, [-0.196133, -0.137293, -0.058840], [-0.063313, -0.239307, 9.717631], [49.000000, 324.000000, -86.000000], [52.871399, 181.108597, -533.066406]]
DATA[4380, 0, [0,0,0], [-0.004894, 0.019637, 0.062314], 10, [-0.098067, -0.196133, -0.058840], [-0.077723, -0.229881, 9.736699], [43.000000, 322.000000, -89.000000], [44.059502, 181.108597, -541.236023]]
DATA[4440, 0, [0,0,0], [-0.007796, 0.025898, 0.062162], 10, [-0.176520, -0.196133, -0.078453], [-0.068116, -0.281723, 9.746232], [39.000000, 327.000000, -89.000000], [49.934101, 176.105606, -537.151184]]
DATA[4500, 0, [0,0,0], [-0.007948, 0.025745, 0.061704], 10, [-0.058840, -0.254973, 10.375436], [-0.063313, -0.244020, 9.736699], [44.000000, 324.000000, -92.000000], [55.808701, 178.106796, -539.193604]]
DATA[4560, 0, [0,0,0], [-0.008712, 0.000394, 0.005809], 10, [0.451106, -0.058840, 10.042009], [-0.072920, -0.196891, 9.712865], [43.000000, 325.000000, -90.000000], [52.871399, 181.108597, -528.981628]]
DATA[4620, 0, [0,0,0], [-0.011461, 0.026051, 0.060329], 10, [-0.098067, -0.274586, 10.355823], [-0.084929, -0.253446, 9.767683], [47.000000, 327.000000, -89.000000], [49.934101, 176.105606, -528.981628]]
DATA[4690, 0, [0,0,0], [-0.037575, 0.013986, -0.004575], 10, [-0.156906, -0.588399, -0.019613], [0.167260, -0.072000, 9.348205], [42.000000, 326.000000, -88.000000], [50.913200, 178.106796, -538.172424]]
DATA[4740, 0, [0,0,0], [-0.015126, 0.026967, 0.056817], 10, [-0.156906, -0.313813, -0.137293], [0.020750, -0.413684, 9.767683], [49.000000, 322.000000, -93.000000], [50.913200, 180.108002, -535.108826]]
DATA[4800, 0, [0,0,0], [-0.002145, -0.020375, 0.056664], 10, [-0.137293, -0.117680, 10.728476], [-0.029687, 0.161287, 9.715248], [38.000000, 319.000000, -90.000000], [46.017700, 172.103195, -533.066406]]
DATA[4870, 0, [0,0,0], [-0.296124, -0.009685, -0.334290], 10, [-0.137293, 0.098067, 10.061623], [-0.483626, -0.013089, 9.801050], [25.000000, 330.000000, -90.000000], [28.393900, 175.104996, -528.981628]]
DATA[4930, 0, [0,0,0], [0.156069, -0.009685, 0.005809], 10, [0.451106, -0.098067, -0.156906], [0.719672, -0.807209, 9.641362], [28.000000, 332.000000, -87.000000], [30.352100, 190.113998, -527.960388]]
DATA[4990, 0, [0,0,0], [-0.013904, 0.613550, 0.005504], 10, [-0.156906, -0.274586, -0.156906], [0.515519, -0.380694, 8.866758], [53.000000, 327.000000, -87.000000], [39.164001, 175.104996, -525.918030]]
