
Thu Jan  1 00:00:01 1970

Flight Log #1
ROVER: 'Rover Observation Vehicle for Enclosed Regions'
Flight Log - Format Version '0.2'
LEGEND:[rover_t, rover_status, [rover_orient], [rover_ex_gyro], rover_ex_gyro_temp, [rover_ex_acc], [rover_int_acc], [rover_ex_mag], [rover_int_mag]]
DATA[2960, 0, [0,0,0], [-0.008101, 0.021011, -0.005492], 14, [-0.117680, 0.000000, -0.058840], [0.035161, -0.262872, 9.712865], [-174.000000, -135.000000, -20.000000], [-125.324799, -181.108597, -505.493988]]
DATA[3000, 0, [0,0,0], [-0.013599, 0.019637, -0.006713], 14, [-0.078453, -0.019613, 10.493115], [0.006339, -0.305287, 9.722398], [-170.000000, -137.000000, -21.000000], [-122.387497, -185.110992, -503.451599]]
DATA[3050, 0, [0,0,0], [-0.005505, 0.019178, -0.004423], 14, [-0.039227, 0.058840, -0.058840], [-0.015277, -0.201604, 9.731933], [-172.000000, -133.000000, -20.000000], [-118.471100, -185.110992, -494.260803]]
DATA[3090, 0, [0,0,0], [-0.010239, 0.018109, -0.003812], 14, [-0.019613, 0.039227, 10.375436], [0.051973, -0.215743, 9.731933], [-171.000000, -139.000000, -22.000000], [-122.387497, -190.113998, -495.282013]]
DATA[3130, 0, [0,0,0], [-0.010239, 0.020095, -0.005186], 14, [-0.078453, -0.019613, -0.019613], [0.030357, -0.277010, 9.727165], [-175.000000, -136.000000, -21.000000], [-120.429298, -182.109207, -499.366791]]
DATA[3170, 0, [0,0,0], [-0.009476, 0.021011, -0.001979], 15, [-0.078453, -0.058840, -0.039227], [-0.032089, -0.335921, 9.727165], [-172.000000, -135.000000, -22.000000], [-121.408401, -185.110992, -493.239594]]
DATA[3210, 0, [0,0,0], [-0.010545, 0.022233, -0.005797], 15, [-0.117680, -0.019613, -0.078453], [-0.012875, -0.286436, 9.722398], [-174.000000, -136.000000, -21.000000], [-120.429298, -191.114594, -493.239594]]
DATA[3270, 0, [0,0,0], [-0.008865, 0.018873, -0.002743], 15, [-0.098067, 0.058840, -0.039227], [0.018348, -0.258159, 9.750999], [-170.000000, -136.000000, -21.000000], [-119.450203, -186.111603, -488.133606]]
DATA[3320, 0, [0,0,0], [-0.010697, 0.018109, -0.006103], 15, [-0.078453, -0.078453, -0.019613], [-0.048902, -0.272297, 9.717631], [-173.000000, -135.000000, -23.000000], [-124.345703, -188.112793, -500.388000]]
DATA[3380, 0, [0,0,0], [-0.013752, 0.016277, 0.030244], 15, [-0.019613, -0.058840, 10.375436], [0.011143, -0.291149, 9.722398], [-171.000000, -135.000000, -22.000000], [-120.429298, -187.112198, -493.239594]]
DATA[3430, 0, [0,0,0], [-0.005658, 0.017957, -0.006103], 15, [-0.078453, -0.019613, 10.375436], [0.003938, -0.239307, 9.722398], [-171.000000, -136.000000, -19.000000], [-122.387497, -184.110397, -499.366791]]
DATA[3490, 0, [0,0,0], [-0.010392, 0.022996, 0.030091], 15, [-0.058840, -0.019613, -0.117680], [-0.032089, -0.302931, 9.727165], [-175.000000, -136.000000, -18.000000], [-118.471100, -185.110992, -499.366791]]
DATA[3550, 0, [0,0,0], [-0.007948, 0.019178, -0.002590], 15, [-0.058840, 0.000000, -0.019613], [0.008741, -0.248733, 9.684263], [-172.000000, -132.000000, -21.000000], [-114.554703, -182.109207, -500.388000]]
DATA[3600, 0, [0,0,0], [-0.007948, 0.026509, -0.008546], 15, [-0.058840, -0.058840, 10.395049], [0.008741, -0.234594, 9.727165], [-171.000000, -140.000000, -22.000000], [-121.408401, -186.111603, -497.324402]]
DATA[3660, 0, [0,0,0], [-0.008559, 0.025745, -0.005644], 15, [-0.078453, 0.078453, -0.156906], [0.011143, -0.244020, 9.767683], [-171.000000, -136.000000, -19.000000], [-126.303902, -183.109802, -506.515198]]
DATA[3710, 0, [0,0,0], [-0.011919, 0.025440, -0.003964], 15, [-0.078453, 0.019613, -0.019613], [-0.015277, -0.286436, 9.717631], [-171.000000, -136.000000, -24.000000], [-120.429298, -178.106796, -500.388000]]
DATA[3770, 0, [0,0,0], [-0.012683, 0.020247, 0.029786], 15, [-0.019613, 0.039227, -0.058840], [0.011143, -0.286436, 9.712865], [-172.000000, -135.000000, -22.000000], [-122.387497, -184.110397, -497.324402]]
DATA[3820, 0, [0,0,0], [-0.006269, 0.017346, -0.003964], 15, [-0.078453, 0.000000, 10.375436], [0.006339, -0.229881, 9.731933], [-173.000000, -138.000000, -20.000000], [-113.575600, -186.111603, -500.388000]]
DATA[3870, 0, [0,0,0], [-0.013599, 0.018262, -0.003048], 15, [-0.117680, -0.039227, 10.375436], [0.011143, -0.281723, 9.712865], [-172.000000, -138.000000, -21.000000], [-119.450203, -185.110992, -492.218414]]
DATA[3930, 0, [0,0,0], [-0.011155, 0.021011, 0.030244], 15, [-0.019613, 0.039227, -0.058840], [0.003938, -0.253446, 9.746232], [-173.000000, -137.000000, -20.000000], [-121.408401, -179.107407, -486.091187]]
DATA[3980, 0, [0,0,0], [-0.006421, 0.020553, -0.005033], 15, [-0.019613, 0.000000, -0.058840], [0.018348, -0.267584, 9.758149], [-170.000000, -136.000000, -23.000000], [-123.366600, -181.108597, -501.409210]]
DATA[4040, 0, [0,0,0], [-0.012835, 0.020095, -0.007477], 15, [0.000000, -0.058840, -0.058840], [-0.020080, -0.248733, 9.736699], [-168.000000, -139.000000, -19.000000], [-118.471100, -183.109802, -503.451599]]
DATA[4090, 0, [0,0,0], [-0.012683, 0.021927, -0.004728], 15, [0.000000, -0.058840, -0.039227], [-0.012875, -0.295862, 9.703331], [-174.000000, -135.000000, -21.000000], [-130.220306, -186.111603, -495.282013]]
DATA[4150, 0, [0,0,0], [-0.003825, 0.020858, -0.006255], 15, [-0.039227, -0.019613, -0.039227], [0.013545, -0.244020, 9.731933], [-170.000000, -134.000000, -23.000000], [-121.408401, -181.108597, -504.472809]]
