
Thu Jan  1 00:00:30 1970

Flight Log #9
ROVER: 'Rover Observation Vehicle for Enclosed Regions'
Flight Log - Format Version '0.2'
LEGEND:[rover_t, rover_status, [rover_orient], [rover_ex_gyro], rover_ex_gyro_temp, [rover_ex_acc], [rover_int_acc], [rover_ex_mag], [rover_int_mag]]
DATA[4980, 0, [0,0,0], [-0.008101, 0.001158, 0.003671], 14, [-0.058840, -0.058840, 9.218251], [-3.889368, 0.792813, 8.883442], [98.000000, -30.000000, -647.000000], [71.474297, 103.061798, -572.893188]]
DATA[5040, 0, [0,0,0], [-0.063232, 0.004518, 0.005809], 14, [-4.962165, 0.372653, -0.098067], [-3.855743, 0.420496, 8.332877], [-118.000000, -23.000000, -643.000000], [93.993599, 104.062401, -562.681213]]
DATA[5100, 0, [0,0,0], [-0.013446, -0.001438, 0.010238], 14, [-0.156906, 0.019613, 9.433997], [-4.624316, 0.264971, 7.729877], [-77.000000, -18.000000, -118.000000], [130.220306, 116.069603, -556.554016]]
DATA[5160, 0, [0,0,0], [-0.001840, -0.008158, -0.182490], 14, [-0.078453, 0.627626, -0.019613], [-6.197490, 0.823447, 7.543973], [-57.000000, -17.000000, -111.000000], [136.094894, 107.064201, -552.469177]]
DATA[5230, 0, [0,0,0], [-0.011919, 0.001158, 0.010391], 14, [-4.393379, -0.098067, -0.039227], [-5.534595, 0.493545, 7.777546], [-41.000000, 266.000000, -97.000000], [158.614197, 117.070198, -546.341980]]
DATA[5280, 0, [0,0,0], [-0.001687, 0.001921, 0.000006], 14, [-0.019613, 0.333426, 8.178746], [-5.990936, 0.149505, 8.192257], [-12.000000, 286.000000, -82.000000], [187.008102, 148.088806, -515.705994]]
DATA[5340, 0, [0,0,0], [-0.008254, 1.031382, 0.064452], 14, [-0.039227, -0.137293, 7.864933], [-6.380026, -0.215743, 5.789792], [283.000000, 293.000000, -60.000000], [205.610992, 155.093002, -509.578796]]
DATA[5400, 0, [0,0,0], [-0.000465, 0.007572, -0.003354], 14, [-7.727640, -0.058840, -0.117680], [-6.761911, 0.034040, 5.365547], [323.000000, 285.000000, -44.000000], [237.921295, 147.088196, -495.282013]]
DATA[5460, 0, [0,0,0], [-0.001992, -0.002813, 0.104159], 14, [-7.100015, -0.078453, 5.982057], [-7.905164, 0.064673, 7.675060], [361.000000, 288.000000, -19.000000], [272.189789, 148.088806, -463.624786]]
DATA[5520, 0, [0,0,0], [-0.014515, 1.006337, 0.005046], 14, [-9.100572, -0.294199, -0.117680], [-9.507159, -0.201604, 4.474156], [-113.000000, 286.000000, -502.000000], [313.312012, 148.088806, -440.137207]]
DATA[5580, 0, [0,0,0], [-0.647066, 0.721826, 0.008406], 14, [-0.137293, -0.058840, -0.019613], [-7.727432, -0.277010, 6.276005], [-83.000000, 304.000000, -465.000000], [331.914886, 162.097198, -394.183197]]
DATA[5640, 0, [0,0,0], [-0.012377, 0.405093, 0.094996], 14, [-0.078453, -0.490333, 4.824872], [-8.791426, -0.507941, 5.003270], [-67.000000, 317.000000, -444.000000], [350.517792, 176.105606, -378.865204]]
DATA[5700, 0, [0,0,0], [-0.224653, 0.559947, 0.060329], 14, [-8.963279, -0.156906, 3.255808], [-8.791426, -0.946239, 3.270540], [-43.000000, 332.000000, -415.000000], [370.099792, 188.112793, -346.186798]]
