
Thu Jan  1 00:00:01 1970

Flight Log #11
ROVER: 'Rover Observation Vehicle for Enclosed Regions'
Flight Log - Format Version '0.2'
LEGEND:[rover_t, rover_status, [rover_orient], [rover_ex_gyro], rover_ex_gyro_temp, [rover_ex_acc], [rover_int_acc], [rover_ex_mag], [rover_int_mag]]
DATA[3170, 0, [-0.030641,-0.011996,-2.194554], [0.011379, 0.018618, -0.017028], 14, [-0.098067, -0.254973, -10.042009], [-0.114889, -0.296884, 9.717596], [27.000000, 2.000000, 589.000000], [-71.474297, -110.066002, -647.440796]]
DATA[3220, 0, [-0.030154,-0.011637,-2.277422], [0.010582, 0.018893, -0.017732], 14, [0.039227, -0.254973, -9.963556], [-0.111507, -0.297782, 9.709441], [29.000000, 0.000000, 590.000000], [-79.307098, -103.061798, -638.250000]]
DATA[3260, 0, [-0.029880,-0.011319,-2.257106], [0.010881, 0.019159, -0.017983], 14, [0.019613, -0.274586, -10.022396], [-0.110696, -0.304006, 9.720460], [26.000000, -3.000000, 590.000000], [-75.390701, -102.061203, -648.461975]]
DATA[3290, 0, [-0.029722,-0.011102,-2.279072], [0.010410, 0.019675, -0.016615], 14, [0.019613, -0.274586, -0.019613], [-0.111661, -0.299523, 9.713714], [30.000000, 0.000000, 588.000000], [-71.474297, -93.055801, -647.440796]]
DATA[3330, 0, [-0.029600,-0.010973,-2.205622], [0.010669, 0.019246, -0.016427], 14, [0.019613, -0.294199, -10.002783], [-0.112178, -0.301884, 9.723482], [29.000000, 4.000000, 589.000000], [-66.578796, -100.059998, -642.334778]]
DATA[3370, 0, [-0.029608,-0.010797,-2.188417], [0.011184, 0.018266, -0.017070], 14, [0.000000, -0.019613, -10.042009], [-0.108870, -0.305951, 9.721627], [26.000000, 5.000000, 593.000000], [-70.495201, -109.065399, -643.356018]]
DATA[3410, 0, [-0.029712,-0.010644,-2.200517], [0.012156, 0.018688, -0.016825], 15, [0.058840, -0.235360, -10.002783], [-0.110417, -0.308729, 9.717339], [26.000000, 2.000000, 594.000000], [-69.516098, -105.063004, -647.440796]]
DATA[3450, 0, [-0.029814,-0.010575,-2.235054], [0.013521, 0.018994, -0.017399], 15, [0.039227, -0.235360, -10.002783], [-0.113758, -0.309132, 9.720452], [28.000000, 7.000000, 588.000000], [-72.453400, -102.061203, -645.398376]]
DATA[3490, 0, [-0.029938,-0.010625,-2.202392], [0.012386, 0.019993, -0.018000], 15, [-0.019613, -0.294199, -10.002783], [-0.115921, -0.312603, 9.724091], [27.000000, -1.000000, 591.000000], [-70.495201, -106.063599, -647.440796]]
DATA[3530, 0, [-0.030004,-0.010552,-2.263258], [0.010299, 0.019566, -0.018003], 15, [0.000000, -0.294199, -10.042009], [-0.107295, -0.310076, 9.722898], [26.000000, -1.000000, 591.000000], [-78.328003, -104.062401, -650.504395]]
DATA[3580, 0, [-0.029897,-0.010421,-2.271953], [0.011502, 0.018436, -0.016913], 15, [0.019613, -0.294199, -10.042009], [-0.109923, -0.299620, 9.729374], [31.000000, -2.000000, 591.000000], [-77.348900, -101.060600, -649.483215]]
DATA[3620, 0, [-0.029723,-0.010387,-2.246517], [0.011634, 0.019494, -0.018573], 15, [0.000000, -0.294199, -10.022396], [-0.111136, -0.304405, 9.727162], [30.000000, -1.000000, 588.000000], [-77.348900, -106.063599, -651.525574]]
DATA[3650, 0, [-0.029598,-0.010306,-2.211824], [0.011876, 0.020265, -0.018399], 15, [-0.058840, -0.019613, -10.042009], [-0.105813, -0.299936, 9.724792], [27.000000, -3.000000, 589.000000], [-73.432503, -108.064796, -659.695190]]
DATA[3690, 0, [-0.029534,-0.010200,-2.239511], [0.011212, 0.019679, -0.018571], 15, [-0.019613, -0.019613, -0.019613], [-0.106806, -0.304620, 9.717988], [27.000000, 5.000000, 588.000000], [-72.453400, -101.060600, -658.674011]]
DATA[3730, 0, [-0.029504,-0.010308,-2.242249], [0.009702, 0.020628, -0.018336], 15, [0.019613, -0.235360, -9.963556], [-0.114113, -0.302909, 9.714210], [26.000000, 5.000000, 588.000000], [-74.411598, -103.061798, -651.525574]]
DATA[3770, 0, [-0.029512,-0.010348,-2.225507], [0.009798, 0.019680, -0.018229], 15, [-0.039227, -0.313813, -0.019613], [-0.109335, -0.305366, 9.716361], [30.000000, 6.000000, 592.000000], [-76.369797, -109.065399, -648.461975]]
DATA[3810, 0, [-0.029476,-0.010236,-2.235718], [0.010872, 0.019201, -0.017728], 15, [0.019613, -0.235360, -10.002783], [-0.103115, -0.301716, 9.724319], [27.000000, 8.000000, 588.000000], [-73.432503, -103.061798, -654.589172]]
DATA[3850, 0, [-0.029310,-0.010121,-2.215580], [0.011397, 0.019520, -0.017534], 15, [0.000000, -0.019613, -0.039227], [-0.106487, -0.295379, 9.722198], [28.000000, -2.000000, 591.000000], [-73.432503, -107.064201, -653.567993]]
DATA[3890, 0, [-0.029008,-0.009859,-2.169974], [0.011436, 0.019343, -0.016923], 15, [-0.058840, -0.274586, -10.042009], [-0.098892, -0.292544, 9.720750], [29.000000, -4.000000, 589.000000], [-69.516098, -111.066597, -647.440796]]
DATA[3940, 0, [-0.028843,-0.009685,-2.205615], [0.011996, 0.019852, -0.017554], 14, [0.058840, -0.313813, -10.002783], [-0.099572, -0.293802, 9.718122], [27.000000, -2.000000, 589.000000], [-69.516098, -99.059402, -648.461975]]
DATA[3980, 0, [-0.028787,-0.009572,-2.244968], [0.011969, 0.018510, -0.016915], 14, [-0.058840, -0.196133, -0.039227], [-0.102001, -0.299156, 9.721633], [27.000000, -7.000000, 589.000000], [-76.369797, -106.063599, -637.228821]]
DATA[4010, 0, [-0.028847,-0.009554,-2.262774], [0.012292, 0.018480, -0.016638], 14, [-0.039227, -0.274586, -0.058840], [-0.104325, -0.299948, 9.724911], [28.000000, 3.000000, 589.000000], [-72.453400, -96.057602, -644.377197]]
DATA[4050, 0, [-0.028917,-0.009559,-2.248418], [0.011961, 0.018634, -0.015707], 14, [0.000000, -0.313813, -0.078453], [-0.104911, -0.298975, 9.726485], [28.000000, 17.000000, 586.000000], [-73.432503, -100.059998, -651.525574]]
DATA[4090, 0, [-0.029028,-0.009584,-2.275980], [0.012121, 0.019157, -0.015498], 14, [0.039227, -0.176520, -10.002783], [-0.103906, -0.303964, 9.732744], [28.000000, 4.000000, 592.000000], [-79.307098, -102.061203, -651.525574]]
DATA[4130, 0, [-0.029180,-0.009616,-2.283713], [0.011843, 0.019515, -0.015586], 14, [0.000000, -0.274586, -0.039227], [-0.105504, -0.305877, 9.732488], [28.000000, 2.000000, 590.000000], [-82.244400, -104.062401, -647.440796]]
DATA[4170, 0, [-0.029241,-0.009501,-2.196284], [0.011915, 0.018682, -0.015343], 14, [-0.058840, -0.294199, -10.002783], [-0.096698, -0.301208, 9.730801], [31.000000, 9.000000, 588.000000], [-71.474297, -108.064796, -659.695190]]
DATA[4210, 0, [-0.029064,-0.009375,-2.233912], [0.010694, 0.019932, -0.015398], 14, [-0.019613, -0.019613, -10.002783], [-0.098297, -0.293121, 9.730938], [26.000000, -1.000000, 591.000000], [-73.432503, -107.064201, -648.461975]]
