
Thu Jan  1 00:00:01 1970

Flight Log #12
ROVER: 'Rover Observation Vehicle for Enclosed Regions'
Flight Log - Format Version '0.2'
LEGEND:[rover_t, rover_status, [rover_orient], [rover_ex_gyro], rover_ex_gyro_temp, [rover_ex_acc], [rover_int_acc], [rover_ex_mag], [rover_int_mag]]
DATA[3330, 0, [-0.004607,-0.020568,-2.051215], [0.017419, 0.018771, -0.020585], 13, [0.117680, -0.019613, -9.963556], [-0.211142, -0.063381, 9.726440], [9.000000, -47.000000, 591.000000], [-72.453400, -153.091797, -651.525574]]
DATA[3370, 0, [-0.004603,-0.020510,-2.040323], [0.016396, 0.019204, -0.020495], 13, [0.137293, -0.058840, -0.019613], [-0.213332, -0.060890, 9.731203], [10.000000, -54.000000, 596.000000], [-68.537003, -149.089401, -651.525574]]
DATA[3410, 0, [-0.004681,-0.020573,-2.026453], [0.015684, 0.019537, -0.020995], 13, [0.078453, 0.000000, -9.943943], [-0.217331, -0.065900, 9.729278], [7.000000, -55.000000, 593.000000], [-69.516098, -156.093597, -658.674011]]
DATA[3450, 0, [-0.004819,-0.020841,-2.043115], [0.015861, 0.019507, -0.022171], 13, [0.019613, -0.019613, -9.983170], [-0.226253, -0.069119, 9.732908], [5.000000, -65.000000, 594.000000], [-73.432503, -158.094803, -654.589172]]
DATA[3490, 0, [-0.004898,-0.021216,-2.024834], [0.017849, 0.018699, -0.021915], 13, [0.137293, -0.098067, -10.022396], [-0.234748, -0.064804, 9.746199], [6.000000, -63.000000, 595.000000], [-72.453400, -163.097794, -654.589172]]
DATA[3530, 0, [-0.004861,-0.021557,-2.017286], [0.017845, 0.018084, -0.021015], 13, [0.117680, -0.058840, -10.022396], [-0.234460, -0.061109, 9.741677], [3.000000, -62.000000, 598.000000], [-69.516098, -160.095993, -656.631592]]
DATA[3570, 0, [-0.004754,-0.021833,-2.047854], [0.017995, 0.018668, -0.021504], 13, [0.137293, -0.039227, -0.019613], [-0.231537, -0.060508, 9.734279], [6.000000, -59.000000, 594.000000], [-72.453400, -155.093002, -651.525574]]
DATA[3610, 0, [-0.004679,-0.021782,-2.000443], [0.018683, 0.018644, -0.020922], 13, [0.137293, -0.058840, -10.002783], [-0.224878, -0.058916, 9.727700], [9.000000, -56.000000, 596.000000], [-66.578796, -160.095993, -646.419617]]
DATA[3660, 0, [-0.004558,-0.021591,-2.007908], [0.018989, 0.018943, -0.019997], 13, [0.078453, -0.058840, -10.042009], [-0.219021, -0.054166, 9.740146], [10.000000, -55.000000, 597.000000], [-67.557899, -159.095398, -640.292419]]
DATA[3700, 0, [-0.004340,-0.021317,-2.037756], [0.018488, 0.018426, -0.020298], 13, [0.058840, -0.058840, -10.042009], [-0.219151, -0.055337, 9.736031], [7.000000, -54.000000, 595.000000], [-73.432503, -160.095993, -646.419617]]
DATA[3750, 0, [-0.004428,-0.021078,-2.027051], [0.017272, 0.017600, -0.020013], 13, [0.078453, -0.078453, -10.002783], [-0.212117, -0.065477, 9.735778], [9.000000, -50.000000, 580.000000], [-73.432503, -157.094193, -650.504395]]
DATA[3790, 0, [-0.004645,-0.020863,-2.012579], [0.016608, 0.018400, -0.020843], 13, [0.137293, -0.019613, -9.963556], [-0.213236, -0.068610, 9.739514], [8.000000, -45.000000, 590.000000], [-73.432503, -151.090607, -643.356018]]
DATA[3820, 0, [-0.004795,-0.020777,-2.043380], [0.014948, 0.019353, -0.018889], 13, [0.078453, -0.019613, -9.963556], [-0.214067, -0.066224, 9.737629], [6.000000, -62.000000, 594.000000], [-72.453400, -156.093597, -657.652771]]
DATA[3870, 0, [-0.004845,-0.020821,-2.015481], [0.015527, 0.018799, -0.018313], 13, [0.117680, -0.137293, -9.983170], [-0.223117, -0.064548, 9.735797], [2.000000, -64.000000, 594.000000], [-68.537003, -158.094803, -650.504395]]
DATA[3910, 0, [-0.004973,-0.020966,-2.004333], [0.015514, 0.018474, -0.017575], 14, [0.098067, -0.058840, -10.022396], [-0.218141, -0.074380, 9.728529], [7.000000, -58.000000, 594.000000], [-67.557899, -160.095993, -639.271179]]
