
Thu Jan  1 00:00:01 1970

Flight Log #5
ROVER: 'Rover Observation Vehicle for Enclosed Regions'
Flight Log - Format Version '0.1'
LEGEND:[rover_t, rover_status, [rover_orient], [rover_ex_gyro], [rover_ex_acc], [rover_int_acc], [rover_ex_mag], [rover_int_mag]]
DATA[3100, 0, [0,0,0], [-0.072693, 0.096211, -0.014355], [-0.549172, 0.411879, 10.140077], [-0.593420, -0.167498, 9.836894], [259.000000, -132.000000, -663.000000], [210, -147, 273]]
DATA[3150, 0, [0,0,0], [-0.059559, -0.000916, 0.835358], [-0.215746, 0.098067, -0.039227], [-0.169890, 0.000000, 9.805787], [-4.000000, -142.000000, -665.000000], [205, -151, 278]]
DATA[3190, 0, [0,0,0], [-0.008552, 0.125991, -0.005803], [-0.941438, -0.039227, -0.156906], [-0.976272, -0.016750, 9.865608], [-5.000000, -147.000000, -664.000000], [210, -157, 279]]
DATA[3230, 0, [0,0,0], [-0.098197, -0.004581, 0.446848], [-0.137293, -0.019613, 10.159690], [-0.308674, -0.057428, 9.726824], [-8.000000, -149.000000, -665.000000], [200, -153, 279]]
DATA[3270, 0, [0,0,0], [-0.071013, 0.049022, -0.018937], [-0.509946, -0.313813, 10.159690], [-0.349352, 0.074178, 9.896714], [-8.000000, -158.000000, -669.000000], [203, -159, 279]]
DATA[3310, 0, [0,0,0], [-0.012370, 0.056505, -0.004276], [-0.078453, -0.039227, -0.098067], [-0.868595, -0.078963, 9.791430], [-14.000000, -166.000000, -670.000000], [198, -176, 281]]
DATA[3350, 0, [0,0,0], [-0.011454, -0.023366, -0.002138], [-0.196133, -0.039227, -0.078453], [-0.165105, -0.521635, 9.839287], [-14.000000, -170.000000, -670.000000], [192, -169, 282]]
DATA[3400, 0, [0,0,0], [-0.027642, -0.029322, -0.006720], [-0.568786, -0.196133, -0.156906], [-0.236889, -0.081356, 9.839287], [-14.000000, -174.000000, -672.000000], [193, -174, 281]]
DATA[3440, 0, [0,0,0], [-0.036346, -0.011454, 0.198684], [0.000000, -0.117680, 10.042009], [-0.311067, -0.270389, 9.834501], [-22.000000, -177.000000, -675.000000], [193, -180, 268]]
DATA[3480, 0, [0,0,0], [-0.110108, 0.091630, 0.202349], [-1.157185, -0.117680, 11.022675], [-0.227318, -0.196211, 9.757931], [-18.000000, -173.000000, -673.000000], [186, -179, 266]]
DATA[3530, 0, [0,0,0], [-0.014966, -0.005040, -0.010996], [-0.549172, -0.215746, 10.159690], [-0.267996, -0.043071, 10.030712], [-25.000000, -179.000000, -678.000000], [190, -173, 281]]
DATA[3570, 0, [0,0,0], [-0.029169, -0.003971, 0.078802], [-0.627626, 0.000000, -0.098067], [-0.370888, -0.117248, 9.877572], [-23.000000, -177.000000, -677.000000], [188, -173, 276]]
DATA[3610, 0, [0,0,0], [-0.008247, -0.002596, 0.048564], [-0.058840, -0.117680, -0.156906], [-0.425922, 0.098106, 9.934999], [-23.000000, -176.000000, -676.000000], [190, -177, 256]]
DATA[3670, 0, [0,0,0], [-0.012370, -0.019395, 0.018631], [-0.019613, -0.098067, 10.453889], [-0.272782, -0.026321, 9.856036], [-34.000000, -174.000000, -682.000000], [197, -171, 271]]
DATA[3710, 0, [0,0,0], [-0.004276, -0.012828, 0.052993], [-0.078453, -0.078453, -0.156906], [-0.066999, -0.083749, 9.731609], [-43.000000, -175.000000, -685.000000], [176, -169, 258]]
DATA[3760, 0, [0,0,0], [-0.001680, -0.000611, -0.002596], [-0.078453, -0.098067, 10.375436], [-0.100499, -0.107677, 9.927821], [-40.000000, -178.000000, -686.000000], [169, -176, 264]]
DATA[3800, 0, [0,0,0], [-0.022907, 0.017562, 0.047800], [-0.254973, -0.039227, -0.058840], [-0.083749, -0.045464, 9.772287], [-39.000000, -177.000000, -684.000000], [168, -182, 275]]
DATA[3840, 0, [0,0,0], [-0.023366, 0.040928, 0.041539], [-0.098067, -0.019613, -0.117680], [-0.165105, -0.019143, 9.753145], [-40.000000, -178.000000, -683.000000], [171, -183, 268]]
